,well,BHP,Fluid_newest,Fluid_lowest,Fluid_median
2,MPG-16,90,688.3602274708244,688.3602274708244,454.6502022086473
2,MPG-16,100,685.3218734222664,685.3218734222664,452.6434211259664
2,MPG-16,110,682.1346716554693,682.1346716554693,450.5383286614029
2,MPG-16,120,678.798622170433,678.798622170433,448.33492481495665
2,MPG-16,130,675.3137249671574,675.3137249671574,446.0332095866277
2,MPG-16,140,671.6799800456427,671.6799800456427,443.63318297641604
2,MPG-16,150,667.8973874058886,667.8973874058886,441.13484498432166
2,MPG-16,160,663.9659470478954,663.9659470478954,438.53819561034453
2,MPG-16,170,659.885658971663,659.885658971663,435.84323485448476
2,MPG-16,180,655.6565231771914,655.6565231771914,433.04996271674224
2,MPG-16,190,651.2785396644805,651.2785396644805,430.158379197117
2,MPG-16,200,646.7517084335304,646.7517084335304,427.168484295609
2,MPG-16,210,642.0760294843411,642.0760294843411,424.08027801221834
2,MPG-16,220,637.2515028169126,637.2515028169126,420.89376034694504
2,MPG-16,230,632.2781284312449,632.2781284312449,417.60893129978894
2,MPG-16,240,627.155906327338,627.155906327338,414.2257908707502
2,MPG-16,250,621.8848365051919,621.8848365051919,410.74433905982863
2,MPG-16,260,616.4649189648065,616.4649189648065,407.16457586702444
2,MPG-16,270,610.8961537061821,610.8961537061821,403.48650129233755
2,MPG-16,280,605.1785407293183,605.1785407293183,399.7101153357679
2,MPG-16,290,599.3120800342153,599.3120800342153,395.83541799731563
2,MPG-16,300,593.2967716208732,593.2967716208732,391.86240927698054
2,MPG-16,310,587.1326154892918,587.1326154892918,387.7910891747628
2,MPG-16,320,580.8196116394712,580.8196116394712,383.62145769066234
2,MPG-16,330,574.3577600714113,574.3577600714113,379.3535148246791
2,MPG-16,340,567.7470607851124,567.7470607851124,374.9872605768133
2,MPG-16,350,560.987513780574,560.987513780574,370.5226949470646
2,MPG-16,360,554.0791190577966,554.0791190577966,365.9598179354333
2,MPG-16,370,547.0218766167799,547.0218766167799,361.2986295419193
2,MPG-16,380,539.8157864575239,539.8157864575239,356.5391297665226
2,MPG-16,390,532.4608485800288,532.4608485800288,351.6813186092431
2,MPG-16,400,524.9570629842946,524.9570629842946,346.7251960700809
2,MPG-16,410,517.304429670321,517.304429670321,341.67076214903614
2,MPG-16,420,509.5029486381083,509.5029486381083,336.51801684610854
2,MPG-16,430,501.55261988765636,501.55261988765636,331.26696016129824
2,MPG-16,440,493.4534434189652,493.4534434189652,325.91759209460525
2,MPG-16,450,485.20541923203484,485.20541923203484,320.46991264602957
2,MPG-16,460,476.80854732686515,476.80854732686515,314.9239218155711
2,MPG-16,470,468.2628277034564,468.2628277034564,309.27961960323
2,MPG-16,480,459.56826036180837,459.56826036180837,303.5370060090061
2,MPG-16,490,450.72484530192116,450.72484530192116,297.6960810328996
2,MPG-16,500,441.73258252379475,441.73258252379475,291.7568446749103
2,MPG-16,510,432.591472027429,432.591472027429,285.7192969350383
2,MPG-16,520,423.3015138128242,423.3015138128242,279.5834378132837
2,MPG-16,530,413.8627078799801,413.8627078799801,273.3492673096463
2,MPG-16,540,404.2750542288968,404.2750542288968,267.01678542412617
2,MPG-16,550,394.5385528595744,394.5385528595744,260.58599215672336
2,MPG-16,560,384.65320377201255,384.65320377201255,254.0568875074378
2,MPG-16,570,374.61900696621177,374.61900696621177,247.42947147626964
2,MPG-16,580,364.4359624421716,364.4359624421716,240.7037440632187
2,MPG-16,590,354.1040701998922,354.1040701998922,233.879705268285
2,MPG-16,600,343.6233302393737,343.6233302393737,226.95735509146866
2,MPG-16,610,332.9937425606159,332.9937425606159,219.93669353276957
2,MPG-16,620,322.2153071636188,322.2153071636188,212.81772059218773
2,MPG-16,630,311.28802404838257,311.28802404838257,205.60043626972322
2,MPG-16,640,300.2118932149072,300.2118932149072,198.28484056537602
2,MPG-16,650,288.9869146631925,288.9869146631925,190.8709334791461
2,MPG-16,660,277.61308839323874,277.61308839323874,183.35871501103347
2,MPG-16,670,266.09041440504564,266.09041440504564,175.7481851610381
2,MPG-16,680,254.4188926986134,254.4188926986134,168.03934392916008
2,MPG-16,690,242.59852327394196,242.59852327394196,160.23219131539935
2,MPG-16,700,230.62930613103123,230.62930613103123,152.32672731975583
2,MPG-16,710,218.51124126988137,218.51124126988137,144.32295194222968
2,MPG-16,720,206.2443286904923,206.2443286904923,136.22086518282083
2,MPG-16,730,193.82856839286376,193.82856839286376,128.0204670415291
2,MPG-16,740,181.26396037699627,181.26396037699627,119.72175751835479
2,MPG-16,750,168.5505046428895,168.5505046428895,111.32473661329777
2,MPG-16,760,155.6882011905435,155.6882011905435,102.829404326358
2,MPG-16,770,142.67705001995833,142.67705001995833,94.23576065753555
2,MPG-16,780,129.51705113113388,129.51705113113388,85.54380560683036
2,MPG-16,790,116.20820452407034,116.20820452407034,76.75353917424253
2,MPG-16,800,102.75051019876754,102.75051019876754,67.86496135977197
2,MPG-16,810,89.14396815522548,89.14396815522548,58.87807216341866
2,MPG-16,820,75.38857839344425,75.38857839344425,49.79287158518266
2,MPG-16,830,61.48434091342383,61.48434091342383,40.60935962506397
2,MPG-16,840,47.43125571516408,47.43125571516408,31.327536283062496
2,MPG-16,850,33.22932279866522,33.22932279866522,21.94740155917838
2,MPG-16,860,18.87854216392711,18.87854216392711,12.468955453411528
2,MPG-16,870,4.378913810949823,4.378913810949823,2.8921979657619845
3,MPG-18,0,764.1,764.1,764.1
3,MPG-18,10,762.6339984818935,762.6339984818935,762.6339984818935
3,MPG-18,20,761.0633759812283,761.0633759812283,761.0633759812283
3,MPG-18,30,759.388132498004,759.388132498004,759.388132498004
3,MPG-18,40,757.6082680322208,757.6082680322208,757.6082680322208
3,MPG-18,50,755.7237825838789,755.7237825838789,755.7237825838789
3,MPG-18,60,753.734676152978,753.734676152978,753.734676152978
3,MPG-18,70,751.6409487395181,751.6409487395181,751.6409487395181
3,MPG-18,80,749.4426003434994,749.4426003434994,749.4426003434994
3,MPG-18,90,747.1396309649218,747.1396309649218,747.1396309649218
3,MPG-18,100,744.7320406037853,744.7320406037853,744.7320406037853
3,MPG-18,110,742.21982926009,742.21982926009,742.21982926009
3,MPG-18,120,739.6029969338357,739.6029969338357,739.6029969338357
3,MPG-18,130,736.8815436250226,736.8815436250226,736.8815436250226
3,MPG-18,140,734.0554693336505,734.0554693336505,734.0554693336505
