,well,BHP,Fluid_newest,Fluid_lowest,Fluid_median
1,MPB-30,240,678.5961966348752,789.5817091081091,1542.6724045834378
1,MPB-30,250,676.720750399648,787.3995305885499,1538.4088982924914
1,MPB-30,260,674.8038119910749,785.1690737831598,1534.0510666411255
1,MPB-30,270,672.845381409156,782.8903386919386,1529.5989096293408
1,MPB-30,280,670.8454586538913,780.5633253148865,1525.0524272571367
1,MPB-30,290,668.8040437252811,778.1880336520036,1520.4116195245138
1,MPB-30,300,666.721136623325,775.7644637032896,1515.6764864314714
1,MPB-30,310,664.5967373480233,773.2926154687448,1510.84702797801
1,MPB-30,320,662.4308458993759,770.7724889483688,1505.9232441641293
1,MPB-30,330,660.2234622773825,768.2040841421621,1500.9051349898295
1,MPB-30,340,657.9745864820436,765.5874010501243,1495.7927004551104
1,MPB-30,350,655.6842185133588,762.9224396722556,1490.5859405599724
1,MPB-30,360,653.3523583713284,760.2092000085557,1485.2848553044148
1,MPB-30,370,650.9790060559521,757.4476820590252,1479.8894446884383
1,MPB-30,380,648.5641615672303,754.6378858236636,1474.3997087120429
1,MPB-30,390,646.1078249051625,751.779811302471,1468.8156473752279
1,MPB-30,400,643.6099960697491,748.8734584954475,1463.137260677994
1,MPB-30,410,641.0706750609899,745.918827402593,1457.3645486203407
1,MPB-30,420,638.489861878885,742.9159180239076,1451.4975112022682
1,MPB-30,430,635.8675565234344,739.8647303593912,1445.5361484237767
1,MPB-30,440,633.203758994638,736.7652644090439,1439.480460284866
1,MPB-30,450,630.4984692924959,733.6175201728656,1433.3304467855362
1,MPB-30,460,627.7516874170079,730.4214976508563,1427.086107925787
1,MPB-30,470,624.9634133681744,727.1771968430161,1420.747443705619
1,MPB-30,480,622.133647145995,723.884617749345,1414.3144541250315
1,MPB-30,490,619.26238875047,720.5437603698429,1407.787139184025
1,MPB-30,500,616.3496381815992,717.1546247045097,1401.1654988825992
1,MPB-30,510,613.3953954393827,713.7172107533457,1394.4495332207543
1,MPB-30,520,610.3996605238203,710.2315185163508,1387.6392421984901
1,MPB-30,530,607.3624334349124,706.697547993525,1380.7346258158072
1,MPB-30,540,604.2837141726586,703.1152991848679,1373.7356840727048
1,MPB-30,550,601.1635027370592,699.4847720903801,1366.6424169691832
1,MPB-30,560,598.0017991281138,695.8059667100613,1359.4548245052424
1,MPB-30,570,594.7986033458229,692.0788830439116,1352.1729066808825
1,MPB-30,580,591.5539153901861,688.3035210919309,1344.7966634961035
1,MPB-30,590,588.2677352612038,684.4798808541192,1337.3260949509051
1,MPB-30,600,584.9400629588756,680.6079623304765,1329.7612010452879
1,MPB-30,610,581.5708984832016,676.6877655210029,1322.1019817792512
1,MPB-30,620,578.160241834182,672.7192904256984,1314.3484371527954
1,MPB-30,630,574.7080930118166,668.702537044563,1306.5005671659203
