,Well,ResP,QMax,Avg_fluid,Avg_bhp
66,MPL-36,1155.5555555555557,936.5995091781349,462.07894736842104,786.4252264660012
67,MPM-16,1511.111111111111,1180.3587665375028,977.4285714285713,536.646036442712
68,MPL-14,800.0,758.1482316332435,314.7,591.323177420413
69,MPM-22,800.0,322.86206896551727,322.86206896551727,0.0
70,MPG-18,1155.5555555555557,1044.1965138633436,980.4818181818184,205.85740615805554
71,MPF-78,2222.222222222222,2095.7510857941497,1900.3533333333335,530.1122910308247
72,MPL-20,,2095.7510857941497,1900.3533333333335,530.1122910308247
73,MPK-13,3644.4444444444443,3199.142465014428,2518.9811320754716,1477.6641710652962
74,MPC-24,800.0,588.3999999999999,588.3999999999999,0.0
75,MPF-34,2222.222222222222,2031.9993452714366,1714.6214285714284,742.661397712017
76,MPM-45,800.0,739.7442727889197,567.8875,342.55545765953025
77,MPS-08,800.0,294.55483870967737,294.55483870967737,0.0
78,MPH-18,,294.55483870967737,294.55483870967737,0.0
79,MPJ-10,2577.777777777778,1927.954786699219,1458.4333333333334,1136.0843199191245
80,MPL-62,1155.5555555555557,727.1151874488495,228.8,934.8034899909693
81,MPI-36,3288.8888888888887,2667.5703268513194,2487.4518518518516,629.0669255964199
82,MPE-14,2933.333333333333,2343.4061294532125,1310.5666666666666,1841.2460354035404
83,MPF-50,1155.5555555555557,911.2927917886923,657.0600000000001,553.0656313393508
84,MPM-30,1866.6666666666665,1890.7803658612563,1708.7099999999998,455.03960378567825
85,MPS-12,1155.5555555555557,1029.1095238095236,1029.1095238095236,0.0
86,MPL-54,1511.111111111111,906.6157841291272,602.1166666666667,808.2776697381927
87,MPL-57,1866.6666666666665,1426.4439736733668,1079.3200000000002,822.3017004504505
88,MPI-29,1866.6666666666665,1448.7116897717078,1235.3607142857143,600.8637181724853
89,MPF-05,1511.111111111111,1264.7152587045753,655.3000000000001,998.992056231957
90,MPH-16,800.0,437.49350466461476,142.725,640.9542955693138
91,MPM-18,1511.111111111111,1253.842397801655,993.0944444444443,604.3708883734344
92,MPH-08,,1253.842397801655,993.0944444444443,604.3708883734344
93,MPF-61,1155.5555555555557,685.4071677801016,489.5666666666666,561.0937937756146
94,MPM-32,2577.777777777778,2147.2653131436387,1979.6133333333335,545.1577453974243
95,MPL-47,,2147.2653131436387,1979.6133333333335,545.1577453974243
96,MPB-32,1155.5555555555557,488.8966977740419,370.79999999999995,506.75182719384844
97,MPF-107,1155.5555555555557,920.8201782036867,479.2428571428572,761.8086408606235
98,MPC-01,1511.111111111111,1239.739699800111,594.1862068965518,1044.793554833126
99,MPI-33,2222.222222222222,1795.484591073019,1541.3625,697.3258446168506
100,MPL-46,4000.0,588.5819895955582,561.4833333333332,582.040481148388
101,MPM-34,1155.5555555555557,967.7454379389169,655.6555555555556,603.3166530062514
102,MPL-04,1155.5555555555557,998.786222599498,665.6235294117646,615.5777730618858
103,MPS-45,3644.4444444444443,3446.7665881234907,3226.763157894737,670.1658744467012
104,MPM-24,1155.5555555555557,865.64,865.64,0.0
105,MPI-27,1155.5555555555557,1212.6492511477252,1000.0849999999998,415.41766914978496
106,MPL-03,1866.6666666666665,1379.0677308834752,881.49375,1041.7936893711474
107,MPF-62,3288.8888888888887,580.2855302527145,547.4666666666667,555.1760109630201
108,MPK-30,2933.333333333333,2450.832393311309,2061.664,990.6550565155258
109,MPI-17,1511.111111111111,1283.3296296296294,1283.3296296296294,0.0
110,MPG-02,1155.5555555555557,433.88601930899193,354.25102040816324,427.5832523441838
111,MPM-28,1866.6666666666665,1580.6335960536676,1461.3111111111111,385.73579568564594
112,MPF-81,800.0,788.9384615384616,788.9384615384616,0.0
113,MPF-45,800.0,872.6444444444444,872.6444444444444,0.0
114,MPS-03,800.0,248.3384615384616,248.3384615384616,0.0
115,MPF-65,2222.222222222222,2174.0,2174.0,0.0
116,MPM-43,800.0,539.776535400556,422.875,328.08779302266095
117,MPE-35,1511.111111111111,913.1386275994785,705.5181818181818,638.5567818234371
118,MPM-12,1866.6666666666665,832.8589220827082,701.63,627.3204717711923
119,MPJ-06,1511.111111111111,1490.364107974032,1301.062666666667,442.162645955711
120,MPI-40,1866.6666666666665,1903.65,1903.65,0.0
121,MPE-06,4000.0,2444.0863681358164,1899.8399999999997,1668.773205260751
