,well,BHP,Fluid_oldest,Fluid_lowest,Fluid_median
1,MPG-14,340,3182.632496649206,1564.0969517452825,1732.1049428061674
1,MPG-14,350,3158.728497972963,1552.349390095171,1719.0955129384258
1,MPG-14,360,3134.3280507260815,1540.3578500099586,1705.8158976113339
1,MPG-14,370,3109.4311549085614,1528.122331489645,1692.2660968248906
1,MPG-14,380,3084.037810520403,1515.6428345342304,1678.4461105790967
1,MPG-14,390,3058.148017561606,1502.919359143715,1664.355938873952
1,MPG-14,400,3031.7617760321705,1489.9519053180986,1649.9955817094567
1,MPG-14,410,3004.879085932096,1476.7404730573812,1635.3650390856103
1,MPG-14,420,2977.4999472613836,1463.2850623615627,1620.464311002413
1,MPG-14,430,2949.624360020033,1449.5856732306436,1605.2933974598652
1,MPG-14,440,2921.2523242080433,1435.642305664623,1589.8522984579663
1,MPG-14,450,2892.383839825415,1421.4549596635018,1574.1410139967168
1,MPG-14,460,2863.018906872149,1407.0236352272796,1558.1595440761166
1,MPG-14,470,2833.157525348244,1392.3483323559565,1541.9078886961652
1,MPG-14,480,2802.7996952537005,1377.4290510495323,1525.3860478568633
1,MPG-14,490,2771.9454165885186,1362.265791308007,1508.5940215582104
1,MPG-14,500,2740.5946893526984,1346.858553131381,1491.531809800207
1,MPG-14,510,2708.7475135462396,1331.207336519654,1474.1994125828526
1,MPG-14,520,2676.403889169142,1315.3121414728262,1456.5968299061474
1,MPG-14,530,2643.5638162214063,1299.172967990897,1438.7240617700913
1,MPG-14,540,2610.227294703032,1282.789816073867,1420.5811081746845
1,MPG-14,550,2576.3943246140193,1266.1626857217361,1402.167969119927
1,MPG-14,560,2542.064905954368,1249.2915769345043,1383.4846446058186
1,MPG-14,570,2507.2390387240775,1232.1764897121711,1364.5311346323588
1,MPG-14,580,2471.9167229231493,1214.8174240547373,1345.3074391995488
1,MPG-14,590,2436.097958551583,1197.2143799622027,1325.8135583073881
1,MPG-14,600,2399.782745609377,1179.3673574345667,1306.0494919558762
1,MPG-14,610,2362.971084096534,1161.27635647183,1286.0152401450139
1,MPG-14,620,2325.6629740130516,1142.9413770739923,1265.7108028748005
1,MPG-14,630,2287.858415358931,1124.3624192410537,1245.1361801452365
1,MPG-14,640,2249.5574081341715,1105.539482973014,1224.2913719563214
1,MPG-14,650,2210.759952338774,1086.4725682698736,1203.176378308056
1,MPG-14,660,2171.4660479727377,1067.1616751316317,1181.7911992004392
1,MPG-14,670,2131.675695036063,1047.6068035582894,1160.1358346334719
1,MPG-14,680,2091.38889352875,1027.807953549846,1138.2102846071539
1,MPG-14,690,2050.6056434507987,1007.7651251063014,1116.0145491214848
1,MPG-14,700,2009.3259448022081,987.4783182276558,1093.548628176465
1,MPG-14,710,1967.5497975829796,966.9475329139095,1070.8125217720944
1,MPG-14,720,1925.2772017931127,946.172769165062,1047.806229908373
1,MPG-14,730,1882.5081574326075,925.154026981114,1024.5297525853011
1,MPG-14,740,1839.242664501463,903.8913063620644,1000.9830898028778
1,MPG-14,750,1795.4807229996804,882.3846073079142,977.166241561104
1,MPG-14,760,1751.22233292726,860.6339298186631,953.0792078599795
1,MPG-14,770,1706.4674942841993,838.6392738943103,928.7219886995036
1,MPG-14,780,1661.2162070705017,816.4006395348574,904.0945840796776
1,MPG-14,790,1615.4684712861654,793.9180267403033,879.1969940005006
1,MPG-14,800,1569.2242869311906,771.1914355106483,854.0292184619728
1,MPG-14,810,1522.4836540055765,748.2208658458919,828.5912574640938
1,MPG-14,820,1475.246572509325,725.006317746035,802.8831110068645
1,MPG-14,830,1427.5130424424347,701.5477912110771,776.9047790902843
1,MPG-14,840,1379.2830638049056,677.845286241018,750.656261714353
1,MPG-14,850,1330.5566365967381,653.898802835858,724.1375588790711
1,MPG-14,860,1281.3337608179327,629.7083409955973,697.3486705844387
1,MPG-14,870,1231.614436468488,605.2739007202352,670.2895968304549
1,MPG-14,880,1181.3986635484048,580.5954820097722,642.9603376171204
1,MPG-14,890,1130.6864420576837,555.6730848642086,615.3608929444354
1,MPG-14,900,1079.4777719963242,530.506709283544,587.4912628123997
1,MPG-14,910,1027.772653364325,505.0963552677776,559.3514472210122
1,MPG-14,920,975.5710861616883,479.442022816911,530.9414461702748
1,MPG-14,930,922.8730703884135,453.5437119309435,502.2612596601866
1,MPG-14,940,869.6786060444994,427.40142260987466,473.3108876907473
1,MPG-14,950,815.9876931299469,401.015154853705,444.0903302619572
1,MPG-14,960,761.8003316447566,374.38490866243455,414.5995873738166
1,MPG-14,970,707.1165215889275,347.510684036063,384.838659026325
1,MPG-14,980,651.9362629624596,320.3924809745904,354.8075452194825
1,MPG-14,990,596.2595557653534,293.0302994780169,324.50624595328924
1,MPG-14,1000,540.0863999976089,265.4241395463425,293.93476122774524
1,MPG-14,1010,483.41679565922504,237.57400117956678,263.09309104285006
1,MPG-14,1020,426.2507427502038,209.47988437769055,231.98123539860458
1,MPG-14,1030,368.58824127054373,181.14178914071323,200.59919429500818
1,MPG-14,1040,310.4292912202454,152.55971546863503,168.946967732061
1,MPG-14,1050,251.77389259930823,123.7336633614557,137.0245557097629
1,MPG-14,1060,192.62204540773274,94.66363281917548,104.83195822811405
1,MPG-14,1070,132.9737496455185,65.34962384179416,72.36917528711425
1,MPG-14,1080,72.8290053126659,35.791636429311936,39.63620688676371
1,MPG-14,1090,12.187812409174544,5.989670581728611,6.633053027062209
2,MPG-16,0,548.7820227038168,432.4896421042114,577.8794502420716
2,MPG-16,10,547.4671849618372,431.4534315854117,576.4948973958448
2,MPG-16,20,546.0371369029261,430.326424964198,574.989025570759
2,MPG-16,30,544.4918785270838,429.10862224057036,573.3618347668145
2,MPG-16,40,542.8314098343101,427.8000234145287,571.613324984011
2,MPG-16,50,541.0557308246048,426.40062848607306,569.7434962223487
2,MPG-16,60,539.1648414979682,424.91043745520335,567.7523484818274
2,MPG-16,70,537.1587418544001,423.32945032191964,565.6398817624473
2,MPG-16,80,535.0374318939008,421.65766708622203,563.4060960642084
2,MPG-16,90,532.80091161647,419.8950877481104,561.0509913871107
2,MPG-16,100,530.4491810221077,418.04171230758476,558.5745677311539
2,MPG-16,110,527.9822401108142,416.0975407646452,555.9768250963384
2,MPG-16,120,525.4000888825892,414.0625731192916,553.257763482664
2,MPG-16,130,522.7027273374329,411.93680937152396,550.4173828901307
2,MPG-16,140,519.8901554753451,409.7202495213424,547.4556833187386
2,MPG-16,150,516.9623732963258,407.4128935687468,544.3726647684875
2,MPG-16,160,513.9193808003753,405.0147415137372,541.1683272393776
2,MPG-16,170,510.7611779874933,402.52579335631367,537.8426707314089
2,MPG-16,180,507.48776485767985,399.9460490964761,534.3956952445812
2,MPG-16,190,504.0991414109351,397.2755087342245,530.8274007788947
2,MPG-16,200,500.59530764725884,394.5141722695589,527.1377873343494
2,MPG-16,210,496.97626356665126,391.6620397024794,523.326854910945
2,MPG-16,220,493.2420091691123,388.71911103298584,519.3946035086819
2,MPG-16,230,489.3925444546419,385.6853862610783,515.34103312756
2,MPG-16,240,485.4278694232401,382.5608653867568,511.1661437675792
2,MPG-16,250,481.3479840749069,379.34554841002125,506.86993542873944
2,MPG-16,260,477.1528884096423,376.03943533087175,502.4524081110408
2,MPG-16,270,472.84258242744636,372.6425261493083,497.9135618144834
2,MPG-16,280,468.41706612831894,369.1548208653308,493.25339653906707
2,MPG-16,290,463.8763395122602,365.5763194789393,488.47191228479187
2,MPG-16,300,459.22040257926994,361.90702199013384,483.5691090516578
2,MPG-16,310,454.4492553293484,358.1469283989144,478.5449868396649
2,MPG-16,320,449.5628977624954,354.2960387052809,473.3995456488131
2,MPG-16,330,444.561329878711,350.35435290923346,468.1327854791024
2,MPG-16,340,439.44455167799526,346.321871010772,462.74470633053284
2,MPG-16,350,434.212563160348,342.1985930098965,457.23530820310435
2,MPG-16,360,428.8653643257694,337.9845189066071,451.6045910968171
2,MPG-16,370,423.40295517425943,333.67964870090367,445.8525550116709
2,MPG-16,380,417.8253357058181,329.28398239278624,439.9791999476659
2,MPG-16,390,412.1325059204452,324.7975199822548,433.984525904802
2,MPG-16,400,406.32446581814105,320.22026146930943,427.86853288307924
2,MPG-16,410,400.4012153989055,315.55220685395005,421.63122088249764
2,MPG-16,420,394.36275466273855,310.79335613617667,415.2725899030571
2,MPG-16,430,388.2090836096402,305.9437093159893,408.7926399447578
2,MPG-16,440,381.94020223961036,301.0032663933879,402.1913710075995
2,MPG-16,450,375.5561105526492,295.97202736837255,395.46878309158245
2,MPG-16,460,369.0568085487565,290.8499922409431,388.62487619670634
2,MPG-16,470,362.4422962279326,285.6371610110998,381.6596503229716
2,MPG-16,480,355.7125735901772,280.33353367884246,374.5731054703778
2,MPG-16,490,348.86764063549043,274.9391102441711,367.3652416389252
2,MPG-16,500,341.90749736387227,269.4538907070858,360.0360588286138
2,MPG-16,510,334.8321437753226,263.8778750675864,352.58555703944336
2,MPG-16,520,327.64157986984173,258.21106332567314,345.01373627141425
2,MPG-16,530,320.3358056474293,252.45345548134583,337.3205965245262
2,MPG-16,540,312.91482110808556,246.6050515346045,329.50613779877926
2,MPG-16,550,305.3786262518104,240.66585148544925,321.57036009417345
2,MPG-16,560,297.72722107860375,234.6358553338799,313.5132634107087
2,MPG-16,570,289.96060558846585,228.5150630798967,305.33484774838524
2,MPG-16,580,282.07877978139646,222.30347472349942,297.03511310720285
2,MPG-16,590,274.08174365739563,216.00109026468812,288.6140594871615
2,MPG-16,600,265.9694972164635,209.6079097034629,280.07168688826135
2,MPG-16,610,257.74204045859994,203.12393303982364,271.4079953105024
2,MPG-16,620,249.39937338380489,196.54916027377033,262.6229847538844
2,MPG-16,630,240.9414959920785,189.8835914053031,253.7166552184076
2,MPG-16,640,232.36840828342073,183.12722643442189,244.689006704072
2,MPG-16,650,223.68011025783156,176.28006536112665,235.54003921087747
2,MPG-16,660,214.876601915311,169.34210818541746,226.2697527388241
2,MPG-16,670,205.957883255859,162.31335490729424,216.87814728791184
2,MPG-16,680,196.92395427947568,155.19380552675705,207.36522285814078
2,MPG-16,690,187.77481498616092,147.9834600438059,197.73097944951084
2,MPG-16,700,178.51046537591472,140.68231845844068,187.97541706202193
2,MPG-16,710,169.13090544873717,133.29038077066153,178.09853569567426
2,MPG-16,720,159.63613520462826,125.80764698046839,168.1003353504677
2,MPG-16,730,150.02615464358772,118.2341170878611,157.98081602640207
2,MPG-16,740,140.300963765616,110.56979109283998,147.73997772347778
2,MPG-16,750,130.46056257071282,102.81466899540483,137.37782044169458
2,MPG-16,760,120.50495105887822,94.96875079555568,126.89434418105249
2,MPG-16,770,110.43412923011225,87.03203649329254,116.28954894155156
2,MPG-16,780,100.24809708441485,79.00452608861539,105.5634347231917
2,MPG-16,790,89.94685462178613,70.8862195815243,94.71600152597308
2,MPG-16,800,79.53040184222597,62.67711697201921,83.74724934989555
2,MPG-16,810,68.99873874573439,54.37721826010009,72.65717819495912
2,MPG-16,820,58.35186533231143,45.986523445767006,61.44578806116383
2,MPG-16,830,47.58978160195709,37.50503252901994,50.11307894850971
2,MPG-16,840,36.71248755467126,28.93274550985881,38.65905085699662
2,MPG-16,850,25.719983190454126,20.269662388283756,27.08370378662475
2,MPG-16,860,14.612268509305549,11.515783164294682,15.387037737393975
2,MPG-16,870,3.3893435112255994,2.6711078378916358,3.5690527093043563
3,MPG-18,0,802.9,802.9,802.9
3,MPG-18,10,801.3202052963769,801.3202052963769,801.3202052963769
3,MPG-18,20,799.6249918016217,799.6249918016217,799.6249918016217
3,MPG-18,30,797.8143595157342,797.8143595157342,797.8143595157342
3,MPG-18,40,795.8883084387143,795.8883084387143,795.8883084387143
3,MPG-18,50,793.8468385705621,793.8468385705621,793.8468385705621
3,MPG-18,60,791.6899499112777,791.6899499112777,791.6899499112777
3,MPG-18,70,789.4176424608611,789.4176424608611,789.4176424608611
3,MPG-18,80,787.0299162193121,787.0299162193121,787.0299162193121
3,MPG-18,90,784.5267711866311,784.5267711866311,784.5267711866311
3,MPG-18,100,781.9082073628176,781.9082073628176,781.9082073628176
3,MPG-18,110,779.1742247478718,779.1742247478718,779.1742247478718
3,MPG-18,120,776.3248233417937,776.3248233417937,776.3248233417937
3,MPG-18,130,773.3600031445834,773.3600031445834,773.3600031445834
3,MPG-18,140,770.2797641562408,770.2797641562408,770.2797641562408
3,MPG-18,150,767.084106376766,767.084106376766,767.084106376766
3,MPG-18,160,763.7730298061589,763.7730298061589,763.7730298061589
3,MPG-18,170,760.3465344444194,760.3465344444194,760.3465344444194
3,MPG-18,180,756.8046202915477,756.8046202915477,756.8046202915477
3,MPG-18,190,753.1472873475439,753.1472873475439,753.1472873475439
3,MPG-18,200,749.3745356124076,749.3745356124076,749.3745356124076
3,MPG-18,210,745.4863650861391,745.4863650861391,745.4863650861391
3,MPG-18,220,741.4827757687383,741.4827757687383,741.4827757687383
3,MPG-18,230,737.3637676602053,737.3637676602053,737.3637676602053
3,MPG-18,240,733.1293407605399,733.1293407605399,733.1293407605399
3,MPG-18,250,728.7794950697423,728.7794950697423,728.7794950697423
3,MPG-18,260,724.3142305878125,724.3142305878125,724.3142305878125
3,MPG-18,270,719.7335473147504,719.7335473147504,719.7335473147504
3,MPG-18,280,715.037445250556,715.037445250556,715.037445250556
3,MPG-18,290,710.2259243952292,710.2259243952292,710.2259243952292
3,MPG-18,300,705.2989847487702,705.2989847487702,705.2989847487702
3,MPG-18,310,700.256626311179,700.256626311179,700.256626311179
3,MPG-18,320,695.0988490824554,695.0988490824554,695.0988490824554
3,MPG-18,330,689.8256530625997,689.8256530625997,689.8256530625997
3,MPG-18,340,684.4370382516116,684.4370382516116,684.4370382516116
3,MPG-18,350,678.9330046494913,678.9330046494913,678.9330046494913
3,MPG-18,360,673.3135522562385,673.3135522562385,673.3135522562385
3,MPG-18,370,667.5786810718537,667.5786810718537,667.5786810718537
3,MPG-18,380,661.7283910963365,661.7283910963365,661.7283910963365
3,MPG-18,390,655.7626823296871,655.7626823296871,655.7626823296871
3,MPG-18,400,649.6815547719053,649.6815547719053,649.6815547719053
3,MPG-18,410,643.4850084229913,643.4850084229913,643.4850084229913
3,MPG-18,420,637.1730432829451,637.1730432829451,637.1730432829451
3,MPG-18,430,630.7456593517666,630.7456593517666,630.7456593517666
3,MPG-18,440,624.2028566294558,624.2028566294558,624.2028566294558
3,MPG-18,450,617.5446351160127,617.5446351160127,617.5446351160127
3,MPG-18,460,610.7709948114373,610.7709948114373,610.7709948114373
3,MPG-18,470,603.8819357157296,603.8819357157296,603.8819357157296
3,MPG-18,480,596.8774578288896,596.8774578288896,596.8774578288896
3,MPG-18,490,589.7575611509175,589.7575611509175,589.7575611509175
3,MPG-18,500,582.522245681813,582.522245681813,582.522245681813
3,MPG-18,510,575.1715114215764,575.1715114215764,575.1715114215764
3,MPG-18,520,567.7053583702073,567.7053583702073,567.7053583702073
3,MPG-18,530,560.123786527706,560.123786527706,560.123786527706
3,MPG-18,540,552.4267958940725,552.4267958940725,552.4267958940725
3,MPG-18,550,544.6143864693066,544.6143864693066,544.6143864693066
3,MPG-18,560,536.6865582534085,536.6865582534085,536.6865582534085
3,MPG-18,570,528.6433112463781,528.6433112463781,528.6433112463781
3,MPG-18,580,520.4846454482155,520.4846454482155,520.4846454482155
3,MPG-18,590,512.2105608589204,512.2105608589204,512.2105608589204
3,MPG-18,600,503.8210574784933,503.8210574784933,503.8210574784933
3,MPG-18,610,495.31613530693386,495.31613530693386,495.31613530693386
3,MPG-18,620,486.6957943442421,486.6957943442421,486.6957943442421
3,MPG-18,630,477.960034590418,477.960034590418,477.960034590418
3,MPG-18,640,469.10885604546166,469.10885604546166,469.10885604546166
3,MPG-18,650,460.142258709373,460.142258709373,460.142258709373
3,MPG-18,660,451.0602425821522,451.0602425821522,451.0602425821522
3,MPG-18,670,441.8628076637991,441.8628076637991,441.8628076637991
3,MPG-18,680,432.5499539543136,432.5499539543136,432.5499539543136
3,MPG-18,690,423.121681453696,423.121681453696,423.121681453696
3,MPG-18,700,413.57799016194593,413.57799016194593,413.57799016194593
3,MPG-18,710,403.91888007906385,403.91888007906385,403.91888007906385
3,MPG-18,720,394.1443512050492,394.1443512050492,394.1443512050492
3,MPG-18,730,384.25440353990246,384.25440353990246,384.25440353990246
3,MPG-18,740,374.2490370836234,374.2490370836234,374.2490370836234
